Date,ALKS,CTLT,ITCI,LNTH,NBIX,PRGO,VTRS,ZTS
2000-01-03,25.5,,,,25.125,6.369011878967285,8.964594841003418,
2000-01-04,24.0,,,,22.9375,6.32002067565918,8.550843238830566,
2000-01-05,24.6875,,,,24.25,6.32002067565918,8.688759803771973,
2000-01-06,25.96875,,,,22.875,6.369011878967285,8.734734535217285,
2000-01-07,29.5,,,,26.125,6.540485382080078,9.194453239440918,
2000-01-10,32.125,,,,29.75,6.662967205047607,9.378345489501953,
2000-01-11,31.0,,,,30.375,6.46699857711792,9.930008888244629,
2000-01-12,31.0625,,,,28.625,6.65071964263916,9.700145721435547,
2000-01-13,32.1875,,,,27.875,6.711958885192871,9.930008888244629,
2000-01-14,34.46875,,,,29.25,6.418003559112549,10.044940948486328,
2000-01-18,36.5,,,,29.0,6.369011878967285,10.182860374450684,
2000-01-19,36.78125,,,,29.3125,6.613976955413818,10.274805068969727,
2000-01-20,38.75,,,,28.625,6.711958885192871,10.182860374450684,
2000-01-21,38.4375,,,,33.25,6.760952472686768,9.838068962097168,
2000-01-24,36.875,,,,28.8125,6.564984321594238,9.332372665405273,
2000-01-25,37.25,,,,30.75,6.638469219207764,9.355359077453613,
2000-01-26,36.75,,,,30.25,6.760952472686768,9.194453239440918,
2000-01-27,36.46875,,,,29.125,6.956923007965088,9.355359077453613,
2000-01-28,35.25,,,,24.5,6.711958885192871,9.654175758361816,
2000-01-31,33.15625,,,,23.75,6.736450672149658,9.792093276977539,
2000-02-01,36.125,,,,23.875,6.809942722320557,9.44729995727539,
2000-02-02,37.8125,,,,26.9375,7.079403877258301,9.355359077453613,
2000-02-03,41.1875,,,,25.875,6.858937740325928,9.355359077453613,
2000-02-04,43.125,,,,26.0,6.785450458526611,9.217442512512207,
2000-02-07,47.25,,,,29.625,7.103899002075195,9.378345489501953,
2000-02-08,55.5,,,,29.8125,7.079403877258301,9.332372665405273,
2000-02-09,53.625,,,,30.0,6.956923007965088,9.171466827392578,
2000-02-10,60.5,,,,32.0,6.956923007965088,9.079524993896484,
2000-02-11,63.03125,,,,31.75,6.613976955413818,8.964594841003418,
2000-02-14,60.625,,,,30.125,6.1730427742004395,8.895635604858398,
2000-02-15,60.4375,,,,30.5625,6.564984321594238,8.757719993591309,
2000-02-16,70.0625,,,,35.0,6.638469219207764,8.596816062927246,
2000-02-17,84.375,,,,38.0,6.369011878967285,8.941608428955078,
2000-02-18,91.0,,,,35.0,6.418003559112549,8.987579345703125,
2000-02-22,82.8125,,,,34.5,6.369011878967285,8.504871368408203,
2000-02-23,82.375,,,,32.875,5.928081512451172,8.504871368408203,
2000-02-24,84.15625,,,,34.875,5.952577114105225,8.711747169494629,
2000-02-25,87.125,,,,34.75,5.928081512451172,8.57382869720459,
2000-02-28,89.75,,,,35.1875,5.84234619140625,8.34396743774414,
2000-02-29,95.9375,,,,37.0,5.7566070556640625,8.458895683288574,
2000-03-01,98.0625,,,,38.875,5.854593753814697,8.389939308166504,
2000-03-02,94.5,,,,39.0,6.026068210601807,8.872649192810059,
2000-03-03,93.0,,,,45.4375,6.026068210601807,10.849456787109375,
2000-03-06,96.875,,,,44.5,6.001569747924805,10.22883129119873,
2000-03-07,90.625,,,,38.3125,6.026068210601807,10.021954536437988,
2000-03-08,79.25,,,,37.125,5.977074146270752,10.274805068969727,
2000-03-09,73.71875,,,,43.0,5.928081512451172,10.481677055358887,
2000-03-10,71.4375,,,,40.0,5.805601596832275,10.25181770324707,
2000-03-13,64.5,,,,35.984375,5.707613468170166,10.067926406860352,
2000-03-14,56.5,,,,31.25,5.450406551361084,9.861051559448242,
2000-03-15,55.9375,,,,29.25,5.413660526275635,10.182860374450684,
2000-03-16,52.46875,,,,29.9375,5.536142349243164,11.033344268798828,
2000-03-17,50.15625,,,,34.875,5.7566070556640625,10.780496597290039,
2000-03-20,43.25,,,,28.625,5.7566070556640625,10.32077407836914,
2000-03-21,47.75,,,,28.0,5.830099105834961,10.711540222167969,
2000-03-22,52.625,,,,32.625,5.830099105834961,10.36674690246582,
2000-03-23,51.0,,,,32.25,5.805601596832275,10.2977876663208,
2000-03-24,51.65625,,,,29.625,5.732110500335693,10.25181770324707,
2000-03-27,56.75,,,,29.0,5.781105041503906,9.930008888244629,
2000-03-28,54.25,,,,28.75,5.658622741699219,9.608203887939453,
2000-03-29,46.21875,,,,25.0,5.732110500335693,9.622937202453613,
2000-03-30,44.59375,,,,23.375,5.707613468170166,9.599915504455566,
2000-03-31,46.25,,,,23.25,5.952577114105225,10.129410743713379,
2000-04-03,43.15625,,,,21.0,5.732110500335693,10.037323951721191,
2000-04-04,41.625,,,,21.8125,5.5851335525512695,10.428685188293457,
2000-04-05,42.96875,,,,22.4375,5.63412618637085,10.912137985229492,
2000-04-06,44.0625,,,,19.4375,5.683119773864746,10.912137985229492,
2000-04-07,43.90625,,,,20.5,5.683119773864746,11.142350196838379,
2000-04-10,41.40625,,,,20.4375,5.707613468170166,11.142350196838379,
2000-04-11,33.6875,,,,19.875,5.732110500335693,10.981202125549316,
2000-04-12,32.125,,,,18.625,5.5851335525512695,10.843073844909668,
2000-04-13,32.5,,,,19.25,5.536142349243164,10.889116287231445,
2000-04-14,29.0625,,,,16.625,5.536142349243164,10.635878562927246,
2000-04-17,26.75,,,,16.6875,5.683119773864746,10.221492767333984,
2000-04-18,29.5,,,,19.5,5.462653160095215,10.54379653930664,
2000-04-19,30.25,,,,22.0,5.438157081604004,10.889116287231445,
2000-04-20,25.65625,,,,19.75,5.413660526275635,10.635878562927246,
2000-04-24,23.625,,,,18.375,5.487148284912109,10.774008750915527,
2000-04-25,26.1875,,,,19.75,5.2911810874938965,10.313580513000488,
2000-04-26,24.625,,,,19.8125,4.556294918060303,10.24451732635498,
2000-04-27,24.8125,,,,18.5,4.04187536239624,10.221492767333984,
2000-04-28,26.625,,,,21.25,4.458309173583984,10.45170783996582,
2000-05-01,35.3125,,,,21.75,4.335827827453613,10.589836120605469,
2000-05-02,32.65625,,,,22.0,4.237843990325928,10.589836120605469,
2000-05-03,30.125,,,,19.5,4.04187536239624,10.520773887634277,
2000-05-04,31.03125,,,,19.625,4.237843990325928,11.372564315795898,
2000-05-05,34.0,,,,21.625,4.2623395919799805,11.87903118133545,
2000-05-08,30.25,,,,20.5,4.2133469581604,11.556735038757324,
2000-05-09,27.53125,,,,20.75,4.139857769012451,11.763931274414062,
2000-05-10,25.28125,,,,20.1875,4.139857769012451,11.441628456115723,
2000-05-11,30.5,,,,20.5,4.139857769012451,8.794168472290039,
2000-05-12,29.9375,,,,20.8125,4.090865612030029,9.323662757873535,
2000-05-15,29.1875,,,,22.0,4.311330318450928,9.668981552124023,
2000-05-16,37.625,,,,22.8125,4.605287551879883,9.645963668823242,
2000-05-17,35.0,,,,21.0625,4.629783630371094,9.553877830505371,
2000-05-18,33.125,,,,21.25,4.482805252075195,9.599915504455566,
2000-05-19,34.25,,,,21.5,4.311330318450928,9.622937202453613,
2000-05-22,32.375,,,,20.25,4.507302284240723,9.507834434509277,
2000-05-23,30.640625,,,,20.4375,4.384819030761719,9.715023040771484,
2000-05-24,31.4375,,,,20.5,4.580789089202881,9.726534843444824,
2000-05-25,33.75,,,,21.0,4.556294918060303,9.979769706726074,
2000-05-26,29.875,,,,20.625,4.654277324676514,9.887687683105469,
2000-05-30,35.125,,,,21.25,5.021721839904785,9.853156089782715,
2000-05-31,36.625,,,,21.25,4.7032694816589355,9.87617301940918,
2000-06-01,37.625,,,,22.9375,4.850248336791992,9.830130577087402,
2000-06-02,42.1875,,,,25.3125,4.825753688812256,9.87617301940918,
2000-06-05,45.375,,,,24.5,4.899240493774414,10.014302253723145,
2000-06-06,49.9375,,,,26.75,4.948234558105469,9.853156089782715,
2000-06-07,50.0,,,,27.5,4.997224807739258,9.277617454528809,
2000-06-08,50.484375,,,,26.4375,4.997224807739258,8.702083587646484,
2000-06-09,54.25,,,,29.75,4.948234558105469,6.376924514770508,
2000-06-12,38.5,,,,29.625,4.874744892120361,6.607137680053711,
2000-06-13,37.9375,,,,27.75,4.531795024871826,6.607137680053711,
2000-06-14,40.125,,,,27.625,4.727768898010254,6.422964572906494,
2000-06-15,40.875,,,,27.5625,5.144201278686523,6.699223518371582,
2000-06-16,42.0,,,,27.0,5.266684055328369,6.676201820373535,
2000-06-19,45.25,,,,29.125,5.09520959854126,6.492031097412109,
2000-06-20,44.25,,,,29.0,4.997224807739258,6.469010829925537,
2000-06-21,43.5,,,,28.625,5.144201278686523,6.399945259094238,
2000-06-22,40.5,,,,27.0,5.0462164878845215,6.376924514770508,
2000-06-23,39.125,,,,30.0,4.948234558105469,6.261817455291748,
2000-06-26,38.375,,,,34.9375,5.09520959854126,6.307857990264893,
2000-06-27,40.875,,,,34.5,5.070714473724365,6.376924514770508,
2000-06-28,44.0,,,,35.0,4.825753688812256,6.414766311645508,
2000-06-29,43.625,,,,38.0,5.266684055328369,6.599363327026367,
2000-06-30,47.125,,,,35.5625,4.948234558105469,6.691662788391113,
2000-07-03,46.8125,,,,36.1875,4.948234558105469,6.668588638305664,
2000-07-05,45.25,,,,35.75,5.266684055328369,6.922408103942871,
2000-07-06,44.0625,,,,38.1875,5.413660526275635,6.8993353843688965,
2000-07-07,44.0625,,,,40.375,5.2911810874938965,7.222382068634033,
2000-07-10,47.5,,,,40.0,5.144201278686523,7.268529415130615,
2000-07-11,48.125,,,,39.0,5.0462164878845215,7.014708042144775,
2000-07-12,47.5,,,,38.25,5.340175151824951,7.199306964874268,
2000-07-13,43.75,,,,35.875,5.438157081604004,7.060857772827148,
2000-07-14,44.6875,,,,36.9375,5.462653160095215,6.922408103942871,
2000-07-17,46.0,,,,38.5,5.193195343017578,7.360830307006836,
2000-07-18,45.1875,,,,37.875,5.193195343017578,7.360830307006836,
2000-07-19,43.25,,,,38.1875,5.2421875,7.383906841278076,
2000-07-20,43.5625,,,,40.0,5.511645317077637,7.268529415130615,
2000-07-21,41.625,,,,41.0,5.389163494110107,7.29160737991333,
2000-07-24,41.125,,,,39.6875,5.2421875,7.92039155960083,
2000-07-25,39.125,,,,36.25,5.364669322967529,8.076143264770508,
2000-07-26,39.5,,,,35.75,5.438157081604004,7.7069478034973145,
2000-07-27,38.8125,,,,34.1875,5.340175151824951,8.076143264770508,
2000-07-28,36.125,,,,30.6875,5.364669322967529,7.891549587249756,
2000-07-31,33.125,,,,31.9375,5.2911810874938965,7.845394611358643,
2000-08-01,35.875,,,,32.0,5.340175151824951,7.891549587249756,
2000-08-02,38.1875,,,,32.5,5.487148284912109,8.076143264770508,
2000-08-03,37.8125,,,,32.5,5.658622741699219,8.376113891601562,
2000-08-04,35.5,,,,32.375,5.487148284912109,8.399189949035645,
2000-08-07,35.875,,,,32.0,5.364669322967529,8.445340156555176,
2000-08-08,36.875,,,,32.5,5.487148284912109,8.30112361907959,
2000-08-09,33.375,,,,35.875,5.340175151824951,8.376113891601562,
2000-08-10,29.984375,,,,35.25,5.364669322967529,8.768388748168945,
2000-08-11,31.8125,,,,35.25,5.438157081604004,10.152867317199707,
2000-08-14,32.625,,,,34.9375,5.438157081604004,9.622149467468262,
2000-08-15,33.375,,,,33.890625,5.2911810874938965,9.345254898071289,
2000-08-16,35.359375,,,,32.5,5.340175151824951,9.552927017211914,
2000-08-17,34.75,,,,32.8125,5.2911810874938965,9.87597370147705,
2000-08-18,35.75,,,,31.25,5.438157081604004,9.668302536010742,
2000-08-21,35.0,,,,31.3125,5.462653160095215,9.691374778747559,
2000-08-22,38.9375,,,,32.875,5.462653160095215,10.129796028137207,
2000-08-23,39.625,,,,34.8125,5.487148284912109,9.806748390197754,
2000-08-24,44.25,,,,35.5,5.952577114105225,10.129796028137207,
2000-08-25,45.375,,,,38.625,6.09955358505249,10.083642959594727,
2000-08-28,43.25,,,,36.265625,6.075058460235596,9.922119140625,
2000-08-29,43.6875,,,,37.0,5.928081512451172,9.668302536010742,
2000-08-30,45.75,,,,37.9375,5.977074146270752,9.968269348144531,
2000-08-31,46.25,,,,41.375,5.805601596832275,9.806748390197754,
2000-09-01,48.625,,,,41.0625,5.732110500335693,10.014423370361328,
2000-09-05,45.9375,,,,41.375,5.487148284912109,10.152867317199707,
2000-09-06,38.8125,,,,41.375,5.487148284912109,9.760598182678223,
