Date,ACHC,CHE,DVA,EHC,ENSG,HCA,THC,UHS
2000-01-03,3.375,11.765848159790039,2.2916669845581055,17.215967178344727,,,64.1356430053711,8.360026359558105
2000-01-04,3.375,11.348443031311035,2.25,17.625873565673828,,,63.63589096069336,8.191699028015137
2000-01-05,3.25,11.270177841186523,2.0625,17.625873565673828,,,64.63540649414062,8.528346061706543
2000-01-06,3.0,11.426703453063965,2.0,17.420927047729492,,,68.63346862792969,9.159558296203613
2000-01-07,2.875,11.844115257263184,2.2083330154418945,18.855588912963867,,,73.63105773925781,9.917012214660645
2000-01-10,3.125,11.739766120910645,2.25,19.470447540283203,,,72.63153839111328,10.3939208984375
2000-01-11,3.125,11.609323501586914,2.2291669845581055,21.724916458129883,,,70.13274383544922,9.987146377563477
2000-01-12,3.25,11.765848159790039,2.2083330154418945,21.11005973815918,,,70.13274383544922,9.945064544677734
2000-01-13,3.0,12.078911781311035,2.3125,23.774431228637695,,,72.63153839111328,10.323787689208984
2000-01-14,3.0,12.287615776062012,2.3958330154418945,22.74966812133789,,,71.96519470214844,10.28171157836914
2000-01-18,3.0,11.948472023010254,2.3958330154418945,22.134822845458984,,,71.46543884277344,10.267683982849121
2000-01-19,3.0,12.209356307983398,1.625,21.51996421813965,,,68.96664428710938,10.001167297363281
2000-01-20,3.0,12.757206916809082,1.7708330154418945,20.290250778198242,,,70.63250732421875,10.7726469039917
2000-01-21,3.125,12.757206916809082,1.9166669845581055,20.905107498168945,,,67.30078887939453,10.7726469039917
2000-01-24,3.625,12.47023868560791,1.6666669845581055,19.675392150878906,,,64.1356430053711,10.7726469039917
2000-01-25,4.0,12.418063163757324,1.6458330154418945,19.060535430908203,,,63.30271530151367,10.646406173706055
2000-01-26,8.0,12.23543930053711,1.6458330154418945,21.315006256103516,,,63.80247497558594,10.450032234191895
2000-01-27,6.25,12.23543930053711,1.5833330154418945,18.03577423095703,,,60.97051239013672,10.323787689208984
2000-01-28,7.5,11.844115257263184,1.5208330154418945,17.830821990966797,,,62.303199768066406,10.099357604980469
2000-01-31,7.0,11.687585830688477,1.5416669845581055,18.03577423095703,,,60.6373405456543,10.02922534942627
2000-02-01,7.0,11.609323501586914,1.5208330154418945,17.625873565673828,,,60.47075653076172,10.113384246826172
2000-02-02,9.75,11.504965782165527,1.5625,18.650636672973633,,,62.46978759765625,10.323787689208984
2000-02-03,8.75,11.818021774291992,1.5208330154418945,19.470447540283203,,,61.13710021972656,10.786673545837402
2000-02-04,7.75,11.896289825439453,1.4583330154418945,18.650636672973633,,,62.303199768066406,10.884867668151855
2000-02-07,7.75,11.818021774291992,1.4583330154418945,18.650636672973633,,,60.803924560546875,10.71654224395752
2000-02-08,7.25,11.63541030883789,1.4583330154418945,17.011018753051758,,,61.13710021972656,10.576273918151855
