Date,BAX,BDX,COO,HOLX,ISRG,RMD,TFX,WST
2000-01-03,10.24581241607666,17.52842140197754,3.6048243045806885,1.5,,4.303332805633545,22.168319702148438,5.421760559082031
2000-01-04,10.016273498535156,17.0682373046875,3.63537335395813,1.421875,,4.2835917472839355,21.68061637878418,5.477769374847412
2000-01-05,10.45448112487793,17.19374656677246,3.6582860946655273,1.5,,4.2835917472839355,23.010725021362305,5.455364227294922
2000-01-06,10.673591613769531,17.904918670654297,3.6582860946655273,1.484375,,4.2901716232299805,23.010725021362305,5.399354934692383
2000-01-07,11.278740882873535,18.908945083618164,3.6888365745544434,1.546875,,4.303332805633545,23.720096588134766,5.455364227294922
2000-01-10,10.850963592529297,18.49059295654297,3.69647216796875,1.6875,,4.355972766876221,24.38515853881836,5.567387104034424
2000-01-11,10.850963592529297,18.197765350341797,3.673560857772827,1.5234379768371582,,4.382291793823242,24.030466079711914,5.410557746887207
2000-01-12,10.725763320922852,17.61208724975586,3.71174693107605,1.515625,,4.303332805633545,24.1191349029541,5.444164752960205
2000-01-13,10.976162910461426,18.825260162353516,3.7804834842681885,1.53125,,4.566535472869873,24.872861862182617,5.533782005310059
2000-01-14,10.642292976379395,18.32326889038086,3.7881202697753906,1.59375,,4.467832565307617,25.00586700439453,5.463042736053467
2000-01-18,10.506651878356934,18.36509895324707,3.795758008956909,1.671875,,4.724452972412109,25.40489959716797,5.485569477081299
2000-01-19,10.48578929901123,18.992610931396484,3.9714155197143555,1.6875,,4.829731464385986,25.18321418762207,5.496833324432373
2000-01-20,10.183211326599121,18.6160945892334,3.979053497314453,1.703125,,5.092933654785156,24.5625,5.474306583404541
2000-01-21,10.141478538513184,19.285442352294922,3.933229446411133,1.90625,,5.737776279449463,23.76444435119629,5.496833324432373
2000-01-24,9.901501655578613,18.657930374145508,3.818669557571411,2.007812976837158,,5.777258396148682,22.922042846679688,5.474306583404541
2000-01-25,9.682398796081543,18.197765350341797,3.85685658454895,2.203125,,5.2574357986450195,23.365415573120117,5.71085262298584
2000-01-26,9.682398796081543,17.946744918823242,3.811032295227051,2.1875,,5.040292263031006,22.833377838134766,5.699587821960449
2000-01-27,10.527518272399902,18.657930374145508,3.8339438438415527,1.859375,,4.711292266845703,22.789037704467773,5.564417839050293
2000-01-28,10.464919090270996,17.73758888244629,3.7881202697753906,1.75,,4.6323323249816895,22.700353622436523,5.598213195800781
2000-01-31,10.663156509399414,17.52842140197754,3.69647216796875,1.71875,,4.527052879333496,22.523019790649414,5.575681686401367
2000-02-01,10.537954330444336,18.15592384338379,3.7728450298309326,1.8125,,4.671813011169434,22.123987197875977,5.620738983154297
2000-02-02,10.579686164855957,17.61208724975586,3.7270209789276123,1.9375,,4.500734806060791,21.370258331298828,5.508096694946289
