Date,CAH,COR,HSIC,MCK,OMI,PDCO,ZYXI
2000-01-03,15.132670402526855,2.9517645835876465,2.475490093231201,19.34953498840332,3.567558765411377,6.970590114593506,
2000-01-04,14.960049629211426,2.750239372253418,2.3529410362243652,18.111164093017578,3.515855550765991,6.619998455047607,
2000-01-05,16.014930725097656,2.963618755340576,2.5,18.317556381225586,3.5417065620422363,7.383050441741943,
2000-01-06,16.57113265991211,3.188854455947876,2.4877450466156006,19.607526779174805,3.7743735313415527,7.362429141998291,
2000-01-07,18.067134857177734,3.6037607192993164,2.573529005050659,19.401132583618164,4.084596633911133,7.465542316436768,
2000-01-10,17.184871673583984,3.6985955238342285,2.7328429222106934,19.813928604125977,4.136301517486572,7.542879581451416,
2000-01-11,17.299957275390625,3.81714129447937,2.6715691089630127,22.290664672851562,4.2914137840271,7.486166000366211,
2000-01-12,17.606836318969727,3.81714129447937,2.745098114013672,21.413490295410156,4.188005447387695,7.341805458068848,
2000-01-13,18.009605407714844,4.4928507804870605,3.125,21.77467918395996,4.188005447387695,7.91925048828125,
2000-01-14,18.220571517944336,4.208340167999268,3.0147058963775635,21.77467918395996,4.265562057495117,7.7130208015441895,
2000-01-18,17.338308334350586,4.030522346496582,3.051470994949341,22.13587188720703,4.084596633911133,7.754265785217285,
2000-01-19,17.89452362060547,4.0423760414123535,2.818627119064331,21.6198787689209,3.877782106399536,7.671772480010986,
2000-01-20,16.417694091796875,3.828995704650879,2.9166669845581055,20.845897674560547,3.8002257347106934,7.589280605316162,
2000-01-21,15.995744705200195,3.651179790496826,2.8553919792175293,20.74270248413086,3.6709659099578857,7.723330974578857,
2000-01-24,15.650510787963867,3.686742067337036,2.941175937652588,20.536300659179688,3.9811904430389404,7.558347702026367,
2000-01-25,15.17102336883545,3.5563437938690186,2.7573530673980713,18.162752151489258,4.084596633911133,7.733641624450684,
2000-01-26,15.15184211730957,3.437798023223877,2.6470589637756348,17.904766082763672,3.8260762691497803,7.609906196594238,
2000-01-27,15.209385871887207,3.5563437938690186,2.6470589637756348,17.23398780822754,3.619262933731079,7.640835762023926,
2000-01-28,14.960049629211426,3.5563437938690186,2.573529005050659,16.61480140686035,3.722670555114746,7.269623756408691,
2000-01-31,14.633994102478027,3.437798023223877,2.5857839584350586,16.975994110107422,3.748523712158203,7.187133312225342,
2000-02-01,15.324461936950684,3.544487476348877,2.622549057006836,17.23398780822754,3.8260762691497803,7.042771339416504,
2000-02-02,14.653173446655273,3.580049991607666,2.622549057006836,16.821195602416992,3.4382998943328857,7.27993631362915,
2000-02-03,14.672357559204102,3.5563437938690186,2.598038911819458,16.975994110107422,4.032893180847168,7.661462306976318,
2000-02-04,15.113485336303711,3.497070789337158,2.6102941036224365,16.924386978149414,3.9553356170654297,7.372740745544434,
2000-02-07,15.190205574035645,3.4733617305755615,2.6102941036224365,16.769596099853516,3.748523712158203,7.0943284034729,
2000-02-08,15.7272310256958,3.3903815746307373,2.6102941036224365,16.821195602416992,3.8260762691497803,6.72311544418335,
2000-02-09,15.362828254699707,3.2718353271484375,2.5490200519561768,16.821195602416992,3.8260762691497803,6.58906364440918,
2000-02-10,15.094305038452148,3.2362723350524902,2.6470589637756348,15.789231300354004,3.722670555114746,6.609685897827148,
2000-02-11,14.442209243774414,3.129581928253174,2.4509799480438232,15.58282470703125,3.7743735313415527,6.382833957672119,
2000-02-14,14.077787399291992,3.10587215423584,2.696078062057495,15.63442325592041,3.9553356170654297,6.434390068054199,
2000-02-15,13.636667251586914,3.011037826538086,2.6715691089630127,15.376436233520508,4.11044979095459,6.382833957672119,
2000-02-16,13.866815567016602,3.022892951965332,2.561275005340576,16.511608123779297,4.162154674530029,6.083797931671143,
2000-02-17,13.713380813598633,3.176999807357788,2.622549057006836,16.511608123779297,4.2914137840271,5.867255210876465,
2000-02-18,13.502399444580078,2.975473642349243,2.5490200519561768,16.460002899169922,4.2397074699401855,5.774453163146973,
2000-02-22,13.828461647033691,2.9873275756835938,2.6470589637756348,16.30520248413086,4.394819259643555,5.423861503601074,
2000-02-23,13.751741409301758,2.939910650253296,2.8676469326019287,15.789231300354004,4.420671463012695,6.052865028381348,
2000-02-24,13.406508445739746,2.8450746536254883,2.928921937942505,16.09881591796875,4.188005447387695,6.455013751983643,
2000-02-25,13.214709281921387,2.6554033756256104,2.928921937942505,15.944015502929688,4.343116760253906,5.898190975189209,
2000-02-28,13.118812561035156,2.750239372253418,3.2598040103912354,15.993701934814453,4.394819259643555,5.918816089630127,
2000-02-29,12.831119537353516,2.7620925903320312,3.676470994949341,16.045459747314453,4.549929618835449,5.944593906402588,
2000-03-01,11.968037605285645,2.821364402770996,3.566175937652588,16.148996353149414,4.4465227127075195,5.738362789154053,
2000-03-02,11.910501480102539,2.8332200050354004,3.0759799480438232,15.68313980102539,4.368967533111572,5.774453163146973,
2000-03-03,12.313274383544922,2.714674472808838,3.0392160415649414,15.941948890686035,4.524078845977783,5.923971176147461,
2000-03-06,12.044761657714844,2.6316940784454346,3.063724994659424,16.045459747314453,4.524078845977783,5.774453163146973,
2000-03-07,11.411831855773926,2.4775853157043457,3.051470994949341,15.372588157653809,4.368967533111572,5.671337127685547,
2000-03-08,11.814608573913574,2.453876495361328,3.063724994659424,15.320831298828125,4.498226642608643,5.568222522735596,
2000-03-09,12.562601089477539,2.465731382369995,3.2352941036224365,15.786667823791504,4.471190452575684,5.671337127685547,
2000-03-10,12.831119537353516,2.465731382369995,3.186275005340576,15.42435359954834,4.575170993804932,5.5888447761535645,
