Date,CI,CNC,CVS,ELV,HUM,MOH,UNH
2000-01-03,22.43180274963379,,12.708887100219727,,6.771275520324707,,5.377777099609375
2000-01-04,22.34242820739746,,12.603852272033691,,6.827236175537109,,5.308991432189941
2000-01-05,22.25306510925293,,13.297065734863281,,6.995120525360107,,5.2964863777160645
2000-01-06,23.325496673583984,,12.351778030395508,,7.274923801422119,,5.490335941314697
2000-01-07,24.344308853149414,,12.645865440368652,,7.834535121917725,,6.134419918060303
2000-01-10,24.201311111450195,,12.624861717224121,,7.4987664222717285,,6.028113842010498
2000-01-11,23.575729370117188,,12.666873931884766,,7.386846542358398,,6.040623664855957
2000-01-12,23.611478805541992,,12.645865440368652,,7.55472993850708,,5.984342575073242
2000-01-13,24.058332443237305,,12.393786430358887,,8.282218933105469,,6.171938896179199
2000-01-14,23.05738067626953,,12.057689666748047,,7.386846542358398,,6.165684700012207
2000-01-18,22.592666625976562,,12.09969711303711,,7.722612380981445,,5.90305233001709
2000-01-19,22.145814895629883,,12.036676406860352,,7.163001537322998,,5.953076362609863
2000-01-20,21.716846466064453,,11.351346015930176,,6.939157009124756,,6.103152275085449
2000-01-21,21.323612213134766,,11.614356994628906,,6.995120525360107,,5.840517520904541
2000-01-24,20.572908401489258,,11.593310356140137,,7.107039928436279,,5.521602630615234
2000-01-25,20.447786331176758,,11.446028709411621,,6.939157009124756,,5.521602630615234
2000-01-26,20.805269241333008,,11.467069625854492,,7.05108118057251,,5.509097099304199
2000-01-27,20.715892791748047,,11.256665229797363,,6.827236175537109,,5.4215545654296875
2000-01-28,20.75165367126465,,11.719561576843262,,6.827236175537109,,5.265220642089844
2000-01-31,20.519283294677734,,11.761640548706055,,7.163001537322998,,5.302741527557373
2000-02-01,20.555034637451172,,11.803717613220215,,7.386846542358398,,5.446562767028809
2000-02-02,21.091251373291016,,12.371813774108887,,7.442807197570801,,5.590388298034668
2000-02-03,21.395111083984375,,12.708455085754395,,7.55472993850708,,5.540363788604736
2000-02-04,21.698970794677734,,12.2876558303833,,7.4987664222717285,,5.677933216094971
2000-02-07,21.80620765686035,,12.266611099243164,,7.55472993850708,,5.82175874710083
2000-02-08,21.377233505249023,,13.465916633605957,,7.330883979797363,,5.602894306182861
2000-02-09,22.02070426940918,,13.12926959991455,,6.771275520324707,,5.396538257598877
2000-02-10,22.556915283203125,,13.676316261291504,,6.435510158538818,,5.790491580963135
2000-02-11,22.842899322509766,,13.339673042297363,,6.155703067779541,,5.602894306182861
2000-02-14,22.860780715942383,,13.423831939697266,,6.659351825714111,,5.690436363220215
2000-02-15,22.682031631469727,,13.255507469177246,,6.771275520324707,,5.9405694007873535
2000-02-16,22.539037704467773,,13.066145896911621,,6.603391170501709,,6.134419918060303
2000-02-17,22.735652923583984,,12.87678337097168,,6.3795485496521,,6.2907514572143555
2000-02-18,22.02070426940918,,12.498052597045898,,6.323586463928223,,5.790491580963135
2000-02-22,21.68109703063965,,12.855745315551758,,6.323586463928223,,5.884291172027588
2000-02-23,21.448728561401367,,13.087187767028809,,6.3795485496521,,5.727960109710693
2000-02-24,20.87676429748535,,12.455975532531738,,6.155703067779541,,5.265220642089844
2000-02-25,20.590784072875977,,12.371813774108887,,5.93186092376709,,5.127648830413818
2000-02-28,21.126995086669922,,12.077248573303223,,5.93186092376709,,5.146409034729004
2000-02-29,21.109127044677734,,11.78267765045166,,6.09974479675293,,5.115142345428467
2000-03-01,20.733779907226562,,11.256665229797363,,6.939157009124756,,5.465324401855469
2000-03-02,20.036691665649414,,10.309844017028809,,6.211666584014893,,5.252714157104492
2000-03-03,20.37629508972168,,10.246721267700195,,6.547430515289307,,5.446562767028809
2000-03-06,19.643461227416992,,10.409784317016602,,6.2676262855529785,,5.252714157104492
2000-03-07,18.74976921081543,,9.426141738891602,,5.4841718673706055,,4.902533531188965
2000-03-08,18.49953269958496,,10.478166580200195,,5.819939613342285,,4.764962673187256
2000-03-09,18.391054153442383,,10.751693725585938,,5.875899791717529,,4.908788681030273
2000-03-10,18.319211959838867,,10.267765998840332,,5.763976573944092,,5.090129375457764
2000-03-13,17.582849502563477,,10.39400577545166,,5.987821102142334,,5.008838653564453
2000-03-14,17.636735916137695,,10.351922035217285,,5.93186092376709,,5.008838653564453
2000-03-15,18.696378707885742,,10.983141899108887,,6.435510158538818,,5.146409034729004
2000-03-16,18.96577262878418,,12.224533081054688,,6.491468906402588,,5.215195655822754
2000-03-17,18.12165069580078,,12.119324684143066,,6.2676262855529785,,5.165166854858398
2000-03-20,18.67841339111328,,11.78267765045166,,6.3795485496521,,5.302741527557373
2000-03-21,20.169099807739258,,12.519092559814453,,6.435510158538818,,5.402791500091553
2000-03-22,20.528295516967773,,12.498052597045898,,6.435510158538818,,5.2964863777160645
2000-03-23,21.01321792602539,,12.266611099243164,,6.7153143882751465,,5.465324401855469
2000-03-24,21.911212921142578,,12.098283767700195,,6.547430515289307,,5.746721267700195
2000-03-27,21.74957275390625,,11.488102912902832,,6.435510158538818,,5.577881336212158
2000-03-28,20.923416137695312,,11.509148597717285,,6.547430515289307,,5.540363788604736
2000-03-29,21.30057716369629,,12.266611099243164,,6.7153143882751465,,5.571629524230957
2000-03-30,22.396137237548828,,12.498052597045898,,6.771275520324707,,5.731048107147217
2000-03-31,21.767532348632812,,12.645342826843262,,6.547430515289307,,5.968797206878662
2000-04-03,22.98880958557129,,13.024067878723145,,6.883195877075195,,6.212806701660156
2000-04-04,22.414100646972656,,13.802565574645996,,6.827236175537109,,6.081418514251709
